uOut,rOut_x,rOut_y,rOut_z,g,uIn,TIn,dIn,density,heatCapacity,mu_c,B,T_VF,grid_points,solution_u,solution_N
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.797979797979798,4.3615451187335355,0.11371548566676579
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.8080808080808082,4.397258154554304,0.11273409176959058
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.8181818181818182,4.4329995741022925,0.11207794629749462
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.8282828282828284,4.468887374229043,0.111860964432784
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.8383838383838385,4.505087763789411,0.11224647213402995
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.8484848484848485,4.541836314062222,0.11346873728691304
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.8585858585858587,4.579471202976187,0.1158668049708981
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.8686868686868687,4.618475765852909,0.11992777054957574
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.8787878787878789,4.659546451472714,0.1263558662297019
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.888888888888889,4.703696933348131,0.13617827078000533
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.8989898989898991,4.75243283764622,0.1509224339678159
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.9090909090909092,4.8078898246929045,0.17275599355494048
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.9191919191919192,4.8733955229955574,0.2050564907057736
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.9292929292929294,4.953885922854171,0.25283141806988707
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.9393939393939394,5.05684651981497,0.3236698281223254
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.9494949494949496,5.194851514053724,0.4303015785131196
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.9595959595959597,5.386970165179674,0.5920083782505672
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.9696969696969697,5.669784970530408,0.845701012760619
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.9797979797979799,6.108105276705748,1.2566408694121192
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.98989898989899,6.842978713294072,1.966539095159433
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,1.0,8.233729,3.3356731721522923
